Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
16,Deni Avdija,SF,23,WAS,75,2257,14.9,0.597,0.293,0.34,3.9,22.1,12.8,17.8,1.2,1.3,14.8,20.2,,1.7,1.5,3.2,0.068,,-0.7,-0.2,-0.9,0.6
17,Deandre Ayton,C,25,POR,55,1784,18.9,0.587,0.013,0.105,10.4,28.9,19.1,8.8,1.5,2.1,11.2,21.1,,1.8,2.1,3.9,0.106,,0.5,-0.2,0.3,1
18,Udoka Azubuike,C,24,PHO,16,113,12.3,0.609,0,0.565,11.6,20,16,3.6,0.4,4.7,12.2,12.6,,0.1,0.1,0.2,0.1,,-3,-0.1,-3.2,0
19,Ibou Badji,C,21,POR,22,226,8.1,0.623,0,0.545,9.4,16.3,12.6,7.7,0.7,8,35.5,8,,0,0.2,0.2,0.046,,-7.7,1.9,-5.8,-0.2
20,Marvin Bagley III,C,24,TOT,50,1053,19.4,0.629,0.056,0.309,13.1,19.2,16.1,8.1,0.9,2.6,11.3,21,,2,0.7,2.7,0.122,,1,-1.4,-0.4,0.4
20,Marvin Bagley III,C,24,DET,26,478,18.2,0.638,0.033,0.337,10.5,17.1,13.8,9,0.5,2.5,12.2,21.1,,0.9,0.3,1.1,0.112,,0.4,-1.6,-1.2,0.1
20,Marvin Bagley III,C,24,WAS,24,575,20.5,0.622,0.075,0.286,15.3,20.9,18,7.3,1.2,2.7,10.5,20.9,,1.1,0.4,1.6,0.13,,1.5,-1.2,0.3,0.3
21,Amari Bailey,PG,19,CHO,10,65,9.7,0.425,0.333,0.292,10.1,5.3,7.8,15.2,2.3,0,12.9,21.1,,-0.1,0,-0.1,-0.044,,-5.2,-3.1,-8.3,-0.1
22,Patrick Baldwin Jr.,SF,21,WAS,38,493,9.7,0.502,0.626,0.181,3.6,23.5,13.3,7.6,1.7,2.5,10.2,15.9,,-0.3,0.5,0.2,0.019,,-4,-0.6,-4.6,-0.3
23,LaMelo Ball,PG,22,CHO,22,711,20.8,0.561,0.466,0.246,4.4,13.7,8.9,43.1,2.8,0.5,15,34.3,,0.6,0.5,1.1,0.074,,3.8,-0.5,3.3,1
24,Mo Bamba,C,25,PHI,57,740,15.4,0.575,0.323,0.253,11.3,24.5,17.8,7.6,1.5,7.4,15.1,15.1,,0.6,1.3,2,0.128,,-2.3,1.4,-1,0.2
25,Paolo Banchero,PF,21,ORL,80,2799,17.3,0.546,0.249,0.397,3.4,20,11.6,25.2,1.3,1.6,13,29.7,,1.3,4,5.3,0.09,,1.3,0,1.3,2.3
26,Desmond Bane,SG,25,MEM,42,1443,18.5,0.589,0.464,0.207,2.6,11.8,7,29.2,1.5,1.4,11.7,28.5,,1.8,1.3,3.1,0.102,,3.1,-0.3,2.8,1.7
27,Dalano Banton,PG,24,TOT,54,1047,13.3,0.504,0.398,0.24,4.2,15.2,9.5,19.4,1.6,1.7,12.2,25.7,,-0.4,0.9,0.5,0.024,,-0.7,-0.6,-1.3,0.2
