Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
91,Colin Castleton,C,23,LAL,16,59,13,0.644,0,0.375,11.9,10.8,11.3,6.8,1.6,0,13.9,15.8,,0.1,0,0.2,0.128,,-3.9,-1.4,-5.2,0
92,Malcolm Cazalon,SG,22,DET,1,3,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.012,,-6,-3.2,-9.1,0
93,Julian Champagnie,SF,22,SAS,74,1468,10.6,0.57,0.689,0.229,3.1,12.2,7.6,9.3,1.6,2.4,11.4,14.4,,0.6,1.3,1.8,0.059,,-1.8,-0.1,-1.9,0
94,Justin Champagnie,SF,22,WAS,15,235,13.6,0.526,0.577,0.192,8.5,15.8,12.1,10.7,2,3.1,10.6,17,,0.1,0.2,0.3,0.058,,-1.1,-0.8,-1.8,0
95,Max Christie,SG,20,LAL,67,944,8.4,0.544,0.49,0.191,1.9,14.2,8.4,8,1,1.6,11.8,13.6,,-0.1,0.8,0.7,0.036,,-3.2,-0.4,-3.6,-0.4
96,Sidy Cissoko,SF,19,SAS,12,141,12,0.568,0.364,0.455,6.1,10.8,8.4,9.4,2.4,1.8,7,12.7,,0.2,0.1,0.3,0.11,,-4,1.4,-2.7,0
97,Brandon Clarke,PF,27,MEM,6,134,18.9,0.548,0.102,0.119,10.2,16.2,13.1,12.2,1.8,4.2,4.6,20.8,,0.1,0.2,0.3,0.108,,0.7,0.3,1,0.1
98,Jordan Clarkson,SG,31,UTA,55,1682,12.7,0.521,0.379,0.246,3.2,9,6.2,24.6,1,0.3,13.9,26.1,,0.1,0.1,0.2,0.006,,-1.3,-3.2,-4.5,-1.1
99,Nic Claxton,C,24,BRK,71,2116,18.7,0.629,0.009,0.337,9.7,27.3,18.2,10.4,1.1,6.2,12.2,15.6,,3.5,3.2,6.7,0.152,,-0.3,1.5,1.2,1.7
100,Noah Clowney,PF,19,BRK,23,370,14.2,0.626,0.355,0.323,7.5,16.7,12,6.9,1.1,3.9,12.4,14.2,,0.5,0.4,0.9,0.111,,-0.8,0.1,-0.7,0.1
101,Amir Coffey,SF,26,LAC,70,1460,10,0.604,0.523,0.202,2.3,8.9,5.7,6.8,1.4,0.9,7.9,12.5,,1.6,1,2.6,0.084,,-1.9,-0.3,-2.2,-0.1
102,John Collins,PF,26,UTA,68,1901,17.5,0.621,0.311,0.248,9.2,24,16.7,6.1,1,2.9,10.6,20.4,,3.1,1.3,4.4,0.11,,0.5,-1.4,-0.9,0.5
103,Zach Collins,C,26,SAS,69,1526,14.3,0.565,0.294,0.263,8.3,18,13.1,18.9,1.1,2.8,16.1,22.7,,0.4,1.5,1.8,0.057,,-2,-0.1,-2,0
104,Mike Conley,PG,36,MIN,76,2193,15.8,0.627,0.629,0.174,2,9,5.6,28.4,2,0.7,12.8,16,,5,3.3,8.2,0.18,,2,1.4,3.4,3
105,Pat Connaughton,SF,31,MIL,76,1676,9.6,0.574,0.686,0.167,3.4,12,7.8,12,1.1,1,11.6,10.9,,1.6,1.2,2.8,0.08,,-1.6,0,-1.6,0.2
106,Bilal Coulibaly,SF,19,WAS,63,1715,8.9,0.543,0.428,0.303,3.4,12.8,8,8.2,1.6,2.3,15.1,14.2,,-0.5,0.9,0.4,0.013,,-3.6,-0.5,-4.2,-0.9
107,Ricky Council IV,SG,22,PHI,32,289,18.6,0.604,0.286,0.634,5.3,12.4,8.8,8.2,1.4,0.3,3.4,22.1,,0.8,0.3,1,0.173,,2.1,-0.8,1.3,0.2
108,Robert Covington,SF-PF,33,TOT,29,488,13.6,0.58,0.571,0.265,6.9,15.2,11,6.3,3.9,3.4,9.1,10.7,,0.6,0.9,1.5,0.145,,-1.1,3.2,2.2,0.5
108,Robert Covington,PF,33,LAC,3,69,10.6,0.455,0.889,0.222,3.4,9.5,6.5,12.1,4.3,2.6,0,6.3,,0.1,0.1,0.2,0.124,,-2.3,4.5,2.3,0.1
108,Robert Covington,SF,33,PHI,26,419,14.1,0.593,0.539,0.27,7.5,16.1,11.7,5.3,3.9,3.5,9.9,11.4,,0.5,0.8,1.3,0.149,,-0.9,3,2.2,0.4
109,Torrey Craig,SF,33,CHI,53,1049,10.8,0.568,0.61,0.143,7.2,16.1,11.6,7.3,1.4,2.1,10.7,12.5,,1,0.9,1.9,0.087,,-1.8,-0.2,-2,0
110,Jae Crowder,PF,33,MIL,50,1156,8.9,0.546,0.615,0.133,3,12.1,7.6,7.2,1.6,0.7,7.4,11.5,,0.6,1,1.6,0.065,,-2.6,0,-2.6,-0.2
111,Jalen Crutcher,PG,24,NOP,1,3,-12.6,0,0,0,0,0,0,0,0,0,0,14.5,,0,0,0,-0.334,,-18.5,-7.8,-26.2,0
112,Cade Cunningham,PG,22,DET,62,2074,17.1,0.546,0.287,0.235,1.7,12.9,7.2,37.5,1.3,0.9,14.1,30.8,,0.7,1,1.8,0.041,,2,-1.6,0.3,1.2
113,Seth Curry,SG,33,TOT,44,616,9.9,0.519,0.529,0.152,3.2,9,6.1,9.7,1.7,0.9,8.8,16.8,,0.1,0.4,0.5,0.04,,-2.6,-0.6,-3.3,-0.2
113,Seth Curry,SG,33,DAL,36,457,8.6,0.502,0.552,0.131,3.6,8.8,6.2,8.4,1.8,0.6,9.4,15.9,,-0.1,0.4,0.3,0.034,,-3.2,-0.9,-4,-0.2
113,Seth Curry,SG,33,CHO,8,159,13.5,0.56,0.475,0.203,2.1,9.5,5.7,13.2,1.6,1.8,7.2,19.3,,0.1,0.1,0.2,0.058,,-1.1,0,-1.1,0
114,Stephen Curry,PG,35,GSW,74,2421,20.6,0.616,0.606,0.224,1.7,12.9,7.4,24.7,1.1,1,11.7,31.3,,5.2,2,7.2,0.142,,6.3,-1.1,5.2,4.4
115,Dyson Daniels,PG,20,NOP,61,1358,12,0.529,0.434,0.17,5.1,14.1,9.7,15.4,3.1,1.8,15,12.6,,0.7,2.2,2.9,0.103,,-1.9,2.5,0.6,0.9
116,Anthony Davis,C,30,LAL,76,2700,25.8,0.621,0.083,0.402,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,,7.2,4.7,11.8,0.21,,3.5,1.7,5.1,4.9
117,Johnny Davis,SG,21,WAS,50,613,6.2,0.462,0.26,0.156,3.1,9.6,6.3,6.6,1.4,1.3,7.3,12.2,,-0.3,0.2,-0.1,-0.009,,-5.5,-1.1,-6.6,-0.7
118,JD Davison,SG,21,BOS,8,39,18.8,0.581,0.583,0.333,5.8,21.2,13.8,32.9,1.3,2.3,12.7,17.6,,0.1,0.1,0.2,0.228,,1.8,1.4,3.3,0.1
119,Dexter Dennis,SG,24,DAL,4,30,18.3,0.541,0.421,0.158,3.7,29,16.4,23.7,0,2.9,12.9,33.3,,0,0,0,0.004,,1.7,-0.1,1.7,0
120,DeMar DeRozan,SF,34,CHI,79,2989,19.7,0.584,0.166,0.452,1.6,11.3,6.4,21.8,1.5,1.5,7.7,25.8,,7,2.2,9.2,0.147,,2.1,-0.3,1.8,2.8
121,Moussa Diabaté,C,22,LAC,11,64,24.7,0.576,0,0.737,27.4,15.4,21.2,8.6,3.9,1.4,7.4,18.6,,0.2,0.1,0.3,0.25,,4,-0.5,3.5,0.1
122,Mamadi Diakite,PF,27,TOT,6,24,18.6,0.694,0.167,1,4.5,13.8,9.1,13.5,2.1,3.5,10.4,17,,0.1,0,0.1,0.168,,0.8,2.7,3.5,0
122,Mamadi Diakite,PF,27,SAS,3,16,30.4,0.785,0,1.2,6.7,13.6,10.1,20.3,0,5.2,0,20.2,,0.1,0,0.1,0.349,,7.9,3.7,11.6,0.1
122,Mamadi Diakite,PF,27,NYK,3,8,-5.2,0,1,0,0,14.1,7,0,6.3,0,50,10.8,,-0.1,0,0,-0.194,,-13.5,0.7,-12.7,0
123,Hamidou Diallo,SG,25,WAS,2,5,33.2,0.5,0,0,41.8,0,21.4,28.9,18.7,0,33.3,25.3,,0,0,0,0.204,,2.7,16,18.7,0
124,Gradey Dick,SG,20,TOR,60,1268,8.9,0.546,0.542,0.115,2.3,9.3,5.7,7.4,1.3,0.1,9.7,17.4,,-0.1,0.4,0.3,0.01,,-3.2,-2.2,-5.4,-1.1
125,Ousmane Dieng,PF,20,OKC,33,365,10.1,0.54,0.603,0.138,3.2,12,7.8,12.9,1.1,1.3,13.4,16.9,,0,0.4,0.4,0.055,,-2.3,-0.7,-3,-0.1
126,Spencer Dinwiddie,PG,30,TOT,76,2152,11.7,0.543,0.575,0.328,1.5,9,5.2,22.7,1.2,0.9,11.1,16.6,,2.3,1.3,3.6,0.081,,-1.3,-0.6,-1.9,0.1
126,Spencer Dinwiddie,PG,30,BRK,48,1474,13.5,0.53,0.557,0.321,1.9,10.1,5.9,27.5,1.3,0.6,9.8,18.6,,2,0.9,2.9,0.095,,-0.5,-0.8,-1.3,0.3
126,Spencer Dinwiddie,PG,30,LAL,28,678,8,0.586,0.638,0.355,0.7,6.7,3.9,12.2,0.9,1.7,15.1,12.2,,0.3,0.4,0.7,0.052,,-3.2,-0.1,-3.2,-0.2
127,Donte DiVincenzo,SG,27,NYK,81,2360,16,0.597,0.702,0.114,3,11.2,7.1,13.7,2.3,1.4,9.7,21.3,,3.6,3,6.6,0.135,,2.5,0.9,3.4,3.2
128,Luka Don_i_,PG,24,DAL,70,2624,28.1,0.617,0.45,0.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36,,8.5,3.5,12,0.22,,8.3,1.7,9.9,8
129,Luguentz Dort,SF,24,OKC,79,2246,11.1,0.593,0.603,0.236,3.8,10,7,6.3,1.5,1.9,9.3,15.4,,2,2.5,4.6,0.097,,-1.4,-0.2,-1.6,0.2
130,Ayo Dosunmu,SG,24,CHI,76,2212,13.4,0.604,0.41,0.146,2.7,8.3,5.5,15.6,1.5,1.7,11.9,17.2,,2.6,1.5,4.1,0.089,,-0.6,-0.2,-0.8,0.7
131,Jeff Dowtin,PG,26,PHI,12,142,18.2,0.689,0.528,0.111,2.3,13.5,7.8,26.4,2.4,0.6,11.7,13,,0.4,0.2,0.6,0.193,,2,1.3,3.3,0.2
132,Henri Drell,SF,23,CHI,4,30,10.7,0.506,0.6,0.2,3.7,11.4,7.5,18.3,3.3,3.4,15.5,18.8,,0,0,0,0.047,,-5.1,0.2,-4.9,0
133,Andre Drummond,C,30,CHI,79,1351,23,0.576,0.006,0.454,21.5,37.4,29.3,4.1,2.7,3.6,12.3,21.3,,2.3,2.6,4.9,0.175,,0.8,-0.7,0.1,0.7
134,Chris Duarte,SF,26,SAC,59,719,8.4,0.512,0.605,0.157,4,12.7,8.3,7.8,1.9,1,10.4,14.9,,0,0.7,0.7,0.047,,-3.5,0.1,-3.4,-0.2
135,David Duke Jr.,SG,24,SAS,4,51,16.2,0.673,0.333,0.167,4.2,17.1,10.6,14.6,1.9,0,13.4,18.5,,0.1,0,0.1,0.119,,-0.1,1.4,1.4,0
136,Kris Dunn,PG,29,UTA,66,1249,12.8,0.546,0.355,0.102,4.4,12.2,8.3,27.1,2.6,2,19.5,13.6,,1.1,0.9,2,0.076,,-1.5,1.4,-0.1,0.6
137,Kevin Durant,PF,35,PHO,75,2791,21.2,0.626,0.283,0.295,1.7,17.5,10,22.2,1.2,2.9,13.1,29,,5.1,3.2,8.3,0.142,,4,0.1,4,4.3
138,Jalen Duren,C,20,DET,61,1777,18.7,0.653,0.007,0.321,11.8,33,22.2,12.7,0.9,2.3,16.7,18.5,,3,1.8,4.8,0.13,,-0.2,0.1,-0.1,0.9
139,Tari Eason,PF,22,HOU,22,480,17.1,0.528,0.265,0.175,10.2,24.2,17.1,8.3,3.1,3.6,8.9,19.8,,0.3,1,1.3,0.125,,-0.4,2,1.6,0.4
140,Anthony Edwards,SG,22,MIN,79,2770,19.7,0.575,0.341,0.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,,2.9,4.7,7.5,0.13,,2.7,0.5,3.3,3.7
141,Kessler Edwards,SF,23,SAC,54,275,10.3,0.541,0.634,0.11,3.6,13.7,8.5,7.1,1.8,1.3,4.4,14,,0.2,0.3,0.5,0.083,,-1.6,0.1,-1.5,0
142,Keon Ellis,SG,24,SAC,57,978,12,0.627,0.724,0.151,3.6,10.8,7.1,11.1,2.5,2.7,13,12.4,,1.1,1.2,2.3,0.114,,-0.9,2.1,1.2,0.8
143,Joel Embiid,C,29,PHI,39,1309,34.1,0.644,0.163,0.531,7.9,28.8,18.1,32.4,1.7,4.6,12.5,39.6,,5.2,2.3,7.5,0.275,,8.5,3.1,11.6,4.5
144,Drew Eubanks,C,26,PHO,75,1169,14.4,0.645,0.012,0.368,10.5,20.1,15.6,7.2,1.1,4.6,17.2,13.2,,1.6,1.6,3.1,0.129,,-2,0.8,-1.2,0.2
145,Tosan Evbuomwan,SF,22,TOT,17,367,9.9,0.616,0.451,0.352,5.3,13,9.1,5.9,0.8,1.2,9.9,10.6,,0.4,0.2,0.5,0.071,,-2.4,-0.7,-3,-0.1
145,Tosan Evbuomwan,SF,22,MEM,4,74,5.7,0.333,0.533,0,11.4,9.2,10.3,10.9,0,1.3,6.3,9.3,,0,0,0,0.016,,-4.2,-2.2,-6.4,-0.1
145,Tosan Evbuomwan,SF,22,DET,13,293,10.9,0.679,0.429,0.446,3.7,13.9,8.8,4.6,1,1.2,10.7,10.9,,0.4,0.1,0.5,0.085,,-1.9,-0.3,-2.2,0
146,Dante Exum,PG,28,DAL,55,1088,13.7,0.645,0.358,0.225,2.5,12.4,7.5,19.3,1,0.4,12.9,15,,2.1,0.8,2.9,0.127,,-0.3,-0.3,-0.6,0.4
147,Bruno Fernando,C,25,ATL,45,682,15.2,0.615,0.021,0.513,9.1,22.2,15.4,9.3,1.8,3.7,16.1,16.7,,0.8,0.7,1.5,0.103,,-3.1,0.9,-2.3,-0.1
148,Dorian Finney-Smith,PF,30,BRK,68,1934,10.1,0.546,0.658,0.09,6,12.1,9,7.6,1.4,1.8,10,13.2,,1,1.6,2.6,0.065,,-2,-0.1,-2,0
149,Adam Flagler,SG,24,OKC,2,14,0.6,0.214,0.857,0,0,0,0,33.6,0,0,0,21.7,,0,0,0,-0.159,,-6.7,-3.9,-10.6,0
150,Malachi Flynn,PG,25,TOT,69,876,11.9,0.533,0.52,0.218,2.6,12,7.2,21.1,2.1,0.8,15,20.4,,-0.1,0.6,0.5,0.029,,-2,-0.2,-2.2,0
150,Malachi Flynn,PG,25,TOR,31,474,10.1,0.535,0.584,0.161,3,12.3,7.5,20.3,1.8,1.1,18.4,16.2,,0,0.3,0.2,0.025,,-2.8,0,-2.7,-0.1
150,Malachi Flynn,PG,25,NYK,14,60,12.5,0.557,0.565,0.478,0,11.3,5.6,14.1,0.8,0,9.7,22.2,,0.1,0,0.1,0.093,,-1.7,-0.9,-2.6,0
150,Malachi Flynn,PG,25,DET,24,342,14.4,0.528,0.461,0.23,2.6,11.6,7,23.3,2.7,0.5,12.9,26,,-0.1,0.3,0.2,0.023,,-1,-0.3,-1.3,0.1
151,Simone Fontecchio,SF,28,TOT,66,1644,12.1,0.6,0.609,0.12,4.3,12.2,8.3,8.7,1.3,1.2,10.5,16.5,,1.5,0.6,2.1,0.061,,0,-1,-1,0.4
151,Simone Fontecchio,SF,28,UTA,50,1160,11.2,0.592,0.651,0.112,5,11.7,8.4,8.6,1.2,1.4,12,15.4,,0.9,0.3,1.3,0.052,,-0.4,-1.2,-1.6,0.1
151,Simone Fontecchio,SF,28,DET,16,484,14.4,0.613,0.532,0.137,2.7,13.6,8.1,8.8,1.4,0.9,7.8,19.2,,0.6,0.3,0.8,0.083,,1,-0.4,0.6,0.3
152,Jordan Ford,PG,25,SAC,6,22,16.8,0.761,0.429,0.286,0,10.4,5.1,12.8,0,0,11.3,17.3,,0.1,0,0.1,0.157,,3.3,-1.1,2.2,0
153,Trent Forrest,SG,25,ATL,38,414,8.9,0.426,0.111,0.189,2.8,10.9,6.7,27.6,1.3,0.7,17,11.8,,0.1,0.1,0.2,0.027,,-3.8,-0.7,-4.4,-0.3
154,Evan Fournier,SG,31,TOT,32,580,8.5,0.464,0.588,0.163,0.9,10.4,5.6,11.6,2.4,1,8.1,19,,-0.5,0.4,-0.1,-0.005,,-4.7,0.3,-4.3,-0.3
154,Evan Fournier,SG,31,NYK,3,39,2.2,0.287,0.75,0.1,0,11.6,5.8,10.2,5.2,0,4.6,24.2,,-0.2,0.1,-0.1,-0.108,,-11.8,0.4,-11.3,-0.1
154,Evan Fournier,SG,31,DET,29,541,8.9,0.482,0.572,0.169,1,10.3,5.6,11.7,2.2,1.1,8.5,18.6,,-0.3,0.4,0,0.002,,-4.2,0.3,-3.8,-0.3
155,De'Aaron Fox,PG,26,SAC,74,2659,20.1,0.567,0.374,0.273,2.8,11.8,7.2,25.2,2.7,1.1,10.1,31,,3.3,3.2,6.5,0.117,,2.6,0.1,2.7,3.2
156,Javon Freeman-Liberty,PG,24,TOR,22,403,10.7,0.547,0.339,0.29,4.3,15.1,9.6,13.4,1.2,0.9,15.2,17.5,,0.1,0.2,0.2,0.029,,-3.1,-2,-5.2,-0.3
157,Alex Fudge,SF,20,TOT,6,40,9.8,0.472,0.333,0.133,11.3,2.7,6.9,0,3.6,0,11.2,19.2,,0,0,0,-0.007,,-3.7,-1.5,-5.2,0
157,Alex Fudge,SF,20,LAL,4,14,-1.9,0.291,0.333,0.333,16.7,0,7.9,0,0,0,12.7,24.3,,-0.1,0,-0.1,-0.222,,-9.9,-8.3,-18.1,-0.1
157,Alex Fudge,SF,20,DAL,2,26,16.2,0.611,0.333,0,8.4,4.2,6.3,0,5.5,0,10,16.5,,0,0,0.1,0.108,,-0.4,2.1,1.7,0
158,Markelle Fultz,PG,25,ORL,43,910,12.6,0.492,0.055,0.101,7.2,10.7,8.9,19.7,2.3,1.5,12.8,18.8,,0,1.3,1.3,0.069,,-2.6,1.2,-1.4,0.1
159,Andrew Funk,SG,24,CHI,5,13,-5,0,0.75,0,0,0,0,0,3.8,7.9,0,13.5,,-0.1,0,-0.1,-0.252,,-12.4,-2,-14.4,0
160,Wenyen Gabriel,PF,26,MEM,5,81,2.3,0.351,0.273,0.227,9.1,25.3,16.9,5.3,1.2,2.3,24.8,17,,-0.3,0.1,-0.2,-0.123,,-10.6,-1.9,-12.5,-0.2
161,Daniel Gafford,C-PF,25,TOT,74,1815,21.7,0.731,0,0.365,11.4,22.1,16.7,9.1,1.7,7.1,11.7,14.7,,5.2,2.5,7.8,0.205,,0.7,1.9,2.6,2.1
161,Daniel Gafford,C,25,WAS,45,1192,19.9,0.707,0,0.405,11.5,21.1,16.2,8,1.7,6.6,11.7,13.9,,3,1.4,4.4,0.178,,-0.2,1.1,0.9,0.9
161,Daniel Gafford,PF,25,DAL,29,623,25,0.769,0,0.301,11.3,23.9,17.6,11.1,1.6,7.9,11.7,16.4,,2.2,1.1,3.3,0.257,,2.5,3.4,5.9,1.3
162,Danilo Gallinari,PF-SF,35,TOT,49,630,13.4,0.601,0.489,0.516,3.4,15.3,9.3,11.6,1.1,0.8,9,17.2,,1,0.3,1.3,0.098,,-0.8,-1,-1.9,0
162,Danilo Gallinari,PF,35,WAS,26,385,13.4,0.581,0.489,0.427,3.3,18.2,10.6,10.8,0.7,0.6,7.2,18.3,,0.5,0.1,0.6,0.08,,-0.8,-1.8,-2.6,-0.1
162,Danilo Gallinari,SF,35,DET,6,90,23.3,0.799,0.545,1.091,2.4,15.1,8.7,18.6,1.1,1.9,3,15.9,,0.5,0.1,0.6,0.304,,5.9,1,6.9,0.2
162,Danilo Gallinari,SF,35,MIL,17,155,7.7,0.523,0.459,0.486,4.3,8.3,6.4,9.6,1.9,0.6,18.2,15.3,,0,0.1,0.1,0.025,,-5,-0.2,-5.2,-0.1
163,Darius Garland,PG,24,CLE,57,1901,14.5,0.56,0.423,0.208,1.8,7.1,4.5,29.4,1.9,0.3,16.1,25.3,,0.7,2,2.7,0.067,,0.2,-1.2,-1,0.5
164,Usman Garuba,PF,21,GSW,6,18,7,0.218,0.167,0.333,18.2,23.7,21,6.6,2.7,15.1,22.5,20.8,,-0.1,0,0,-0.124,,-10.8,-0.1,-10.9,0
165,Luka Garza,C,25,MIN,25,122,21.8,0.576,0.427,0.333,18.6,10.7,14.4,5.9,1.6,0.7,6.5,33.3,,0.2,0.2,0.4,0.166,,0.6,-2.7,-2.1,0
166,Kaiser Gates,SF,27,NOP,1,7,-19.9,0,0.5,0,0,15.7,8,0,0,0,0,24.9,,-0.1,0,-0.1,-0.558,,-18.6,-10.1,-28.8,-0.1
167,Keyonte George,PG,20,UTA,75,2023,10.4,0.533,0.54,0.274,0.8,10.6,5.7,23.1,0.9,0.3,17.1,22.8,,-0.4,0.1,-0.3,-0.008,,-1.5,-2.9,-4.4,-1.2
168,Paul George,PF,33,LAC,74,2502,19.3,0.613,0.476,0.235,1.7,15.3,8.8,16.1,2.2,1.3,10.1,26.6,,4.4,2.8,7.3,0.14,,2.9,0.2,3.2,3.3
169,Taj Gibson,PF,38,TOT,20,204,5.9,0.449,0.27,0.054,6.6,13.8,10.2,6.9,0.7,3.2,11.7,9,,0,0.2,0.2,0.044,,-5.3,0.1,-5.3,-0.2
169,Taj Gibson,PF,38,NYK,16,165,3.2,0.335,0.261,0.087,6.8,12.3,9.5,6.7,0.6,3.4,17.3,7.6,,-0.1,0.2,0.1,0.019,,-6.9,0,-6.9,-0.2
169,Taj Gibson,PF,38,DET,4,39,17.6,0.643,0.286,0,5.6,20.4,12.9,8,1.2,2.2,0,15.3,,0.1,0,0.1,0.149,,1.2,0.4,1.7,0
170,Josh Giddey,SG,21,OKC,80,2011,16.6,0.547,0.287,0.146,6.4,21.5,14.2,26.6,1.2,2,15.7,23.1,,1.4,2.9,4.3,0.102,,1,0.4,1.5,1.8
171,Harry Giles,C,25,TOT,23,100,14.8,0.503,0.28,0.26,12.8,20,16.4,10.5,1,2.7,9.7,26.7,,0,0.1,0.1,0.027,,-2.7,-2,-4.8,-0.1
171,Harry Giles,C,25,BRK,16,81,18.5,0.543,0.25,0.295,15.7,19.5,17.6,13,0.6,3.3,10.8,29.8,,0,0.1,0.1,0.071,,-1.1,-1.8,-2.8,0
171,Harry Giles,C,25,LAL,7,19,-1,0.167,0.5,0,0,22.3,11.7,0,2.5,0,0,13.6,,-0.1,0,-0.1,-0.162,,-9.7,-3.2,-12.9,-0.1
172,Shai Gilgeous-Alexander,PG,25,OKC,75,2553,29.3,0.636,0.181,0.436,3,14.7,9.1,29.8,2.8,2.4,8.4,32.8,,10.5,4.2,14.6,0.275,,6.7,2.3,9,7.1
173,Anthony Gill,PF,31,WAS,50,466,12.1,0.537,0.256,0.225,8.3,13.4,10.8,10,1.3,1.9,11.6,18,,0.1,0.2,0.4,0.038,,-2.6,-1.5,-4.1,-0.3
174,Collin Gillespie,PG,24,DEN,24,225,11,0.586,0.551,0.174,0.5,9.6,5.2,15.5,2.9,0,15.9,17.1,,0.1,0.3,0.4,0.076,,-3.7,0.9,-2.7,0
175,Jacob Gilyard,PG,25,TOT,41,699,11.1,0.573,0.84,0.013,1.4,6,3.6,27.7,2.3,0.7,16.6,11.1,,0.8,0.6,1.4,0.095,,-2,0.6,-1.4,0.1
175,Jacob Gilyard,PG,25,MEM,37,654,11.6,0.597,0.833,0.014,1.3,6.1,3.6,28.5,2,0.7,16.7,11.4,,0.9,0.5,1.4,0.103,,-1.5,0.2,-1.3,0.1
175,Jacob Gilyard,PG,25,BRK,4,45,4.5,0,1,0,2.4,5,3.6,15.8,6.6,0,14.3,6.7,,-0.1,0.1,0,-0.017,,-8.7,6.5,-2.2,0
176,Rudy Gobert,C,31,MIN,76,2593,19.3,0.675,0.005,0.635,13.1,29.2,21.5,5.6,1,5.5,13.1,15.4,,5.8,5.8,11.6,0.216,,0.1,1.7,1.8,2.5
177,Jordan Goodwin,PG,25,TOT,57,1055,12.6,0.451,0.369,0.154,9.3,17.3,13.3,20.9,2.2,1.6,12.1,19,,-0.2,1.4,1.2,0.054,,-1.5,0.5,-1,0.3
177,Jordan Goodwin,PG,25,PHO,40,558,12.5,0.481,0.415,0.15,8.5,14.8,11.8,18.7,2,1.4,12.4,18.2,,0.2,0.6,0.8,0.072,,-1.3,0.4,-0.9,0.2
177,Jordan Goodwin,PG,25,MEM,17,497,12.7,0.42,0.323,0.159,10.2,20.2,15,23.4,2.5,1.7,11.8,19.8,,-0.3,0.7,0.4,0.035,,-1.8,0.6,-1.2,0.1
178,Aaron Gordon,PF,28,DEN,73,2297,16.8,0.607,0.193,0.376,8.6,13.9,11.4,15.2,1.2,1.7,11.2,17.8,,4.5,2.6,7.1,0.148,,1.2,0.1,1.3,1.9
179,Eric Gordon,SG,35,PHO,68,1893,10.8,0.58,0.642,0.104,1,6,3.6,10,1.7,1.4,10.2,16.5,,1,1.5,2.5,0.063,,-1.3,-0.5,-1.7,0.1
180,Devonte' Graham,PG,28,SAS,23,313,9.4,0.495,0.769,0.148,1.7,10.8,6.2,21,1.4,0.5,12.9,17.8,,-0.1,0.2,0.1,0.018,,-3,-0.9,-3.9,-0.1
181,Jerami Grant,PF,29,POR,54,1830,15.4,0.573,0.325,0.367,2.1,10,5.8,13.8,1.2,1.7,10.5,25.7,,1.7,1,2.7,0.071,,1,-1.1,-0.1,0.9
182,RaiQuan Gray,PF,24,SAS,3,39,22.7,0.676,0.412,0,5.5,14,9.7,25.2,1.2,2.1,5.6,19.5,,0.1,0,0.2,0.187,,5.6,1.8,7.4,0.1
183,A.J. Green,SG,24,MIL,56,614,10.5,0.617,0.862,0.097,1.6,9.6,5.7,6.4,0.7,0.6,5.5,15.2,,0.7,0.3,1.1,0.084,,-0.4,-1.7,-2.1,0
184,Danny Green,SG,36,PHI,2,18,0.7,0,0.5,0,0,12.5,6.1,6.5,2.7,0,0,4.8,,0,0,0,-0.035,,-7.4,0.8,-6.6,0
185,Draymond Green,PF,33,GSW,55,1490,14.5,0.587,0.347,0.199,5.6,23,14.4,28.6,1.8,2.9,25,15.3,,1.4,2.2,3.6,0.116,,-0.6,3,2.4,1.7
186,Jalen Green,SG,21,HOU,82,2601,14.7,0.541,0.454,0.264,1.7,15.9,8.7,17.3,1.2,1,11.4,27.4,,0.2,2.9,3.1,0.056,,0.4,-0.9,-0.5,1
187,Javonte Green,SF,30,CHI,9,230,20.2,0.681,0.36,0.173,9.5,23.3,16.3,3.3,2.2,3.6,8,16.7,,0.5,0.3,0.9,0.18,,1.9,0.1,2,0.2
188,Jeff Green,PF,37,HOU,78,1307,11.3,0.59,0.437,0.407,3.7,10.9,7.3,7.3,0.6,2.2,9.6,15.5,,1.4,1.2,2.6,0.095,,-1.6,-0.4,-2.1,0
189,Josh Green,SG,23,DAL,57,1505,9.9,0.588,0.5,0.152,2.9,10.4,6.7,11.1,1.5,0.5,13.1,13.1,,1,1.2,2.2,0.071,,-2.4,-0.3,-2.7,-0.3
190,AJ Griffin,SF,20,ATL,20,171,1.2,0.382,0.629,0.032,1.2,10.6,5.7,3.7,0.3,1.1,11.3,17.3,,-0.4,0,-0.4,-0.12,,-6,-3.5,-9.6,-0.3
191,Quentin Grimes,SG,23,TOT,51,1025,8.9,0.516,0.732,0.137,1.6,9.3,5.5,8.7,1.7,0.6,7.5,15.8,,0.3,1,1.3,0.06,,-2.6,0.4,-2.2,-0.1
191,Quentin Grimes,SG,23,NYK,45,910,9.5,0.543,0.741,0.119,1.7,9.2,5.4,7.8,1.7,0.3,6.5,15.3,,0.7,0.9,1.5,0.081,,-1.9,0.4,-1.5,0.1
